geoid,city,wkt,area,orig_area,clip_ratio,lat,lon,households,no_vehicle,no_vehicle_moe
250250509012,Boston,"POLYGON ((-71.032781 42.379486, -71.033423 42.380522, -71.030474 42.381117, -71.026547 42.381322, -71.030235 42.379663, -71.034511 42.378069, -71.034924 42.378685, -71.032781 42.379486))",8.946283499996855e-06,8.946283499996857e-06,0.9999999999999998,42.3800925,-71.03121852651589,537,249.99999999999994,112.07140580897517
250251402023,Boston,"POLYGON ((-71.115465 42.256873, -71.114246 42.258162, -71.11326 42.258926, -71.113009 42.258689, -71.112392 42.258116, -71.109544 42.255412, -71.109465 42.25241, -71.110942 42.253855, -71.116613 42.250945, -71.118233 42.252494, -71.118894 42.253161, -71.1184 42.253924, -71.115465 42.256873))",3.9259004999974174e-05,3.925900499997418e-05,0.9999999999999998,42.254667999999995,-71.11359197654869,304,16.999999999999996,32.20248437620923
250092011002,Nahant,"POLYGON ((-70.933426 42.42821, -70.930057 42.426974, -70.929992 42.425525, -70.926065 42.425779, -70.922831 42.424065, -70.918376 42.423889, -70.9183580702162 42.422360023618, -70.919934 42.423587, -70.928046 42.420663, -70.927971 42.41713, -70.936393 42.418097, -70.937432 42.4258, -70.9367765313368 42.4277921242722, -70.933426 42.42821))",0.00010920059267701278,0.00010920059267701278,1.0,42.422973511809,-70.92934337264765,809,7.0,17.204650534085253
250250510003,Boston,"POLYGON ((-71.021698 42.383539, -71.019569 42.386092, -71.014486 42.384772, -71.022636 42.381739, -71.021791 42.383024, -71.021698 42.383539))",1.3648277499963492e-05,1.3648277499963496e-05,0.9999999999999998,42.3841555,-71.01866324507648,481,169.99999999999997,141.99295757184578
250214191005,Braintree,"POLYGON ((-71.04211 42.2137, -71.03617 42.219701, -71.033012 42.221892, -71.030775 42.222804, -71.024584 42.217575, -71.022009 42.214796, -71.02335 42.21837, -71.023143 42.220355, -71.020511 42.220368, -71.02019 42.222273, -71.021635 42.222979, -71.021996 42.225156, -71.02045 42.22686, -71.020195 42.228338, -71.018231 42.228408, -71.01079 42.228668, -71.008337 42.229669, -71.007212 42.230133, -71.006853 42.230281, -71.005771 42.228079, -71.004513 42.226344, -71.00506 42.22398, -71.01029 42.22567, -71.00923 42.22419, -71.011 42.22294, -71.01004 42.22176, -71.01309 42.22003, -71.01246 42.21653, -71.01229 42.21482, -71.01382 42.21478, -71.01976 42.21202, -71.01975 42.21101, -71.024362 42.202104, -71.024387 42.204388, -71.025842 42.206591, -71.02817 42.207491, -71.03199 42.208247, -71.032803 42.20749, -71.036248 42.208872, -71.042299 42.208168, -71.044883 42.206484, -71.044925 42.21131, -71.04211 42.2137))",0.00043542434699989346,0.00043542434699989346,1.0,42.215675000000005,-71.03148927522594,766,14.0,26.076809620810597
250173702011,Watertown,"POLYGON ((-71.175485 42.379384, -71.173424 42.378916, -71.171371 42.378291, -71.171229 42.378279, -71.169996 42.377814, -71.166466 42.377177, -71.164483 42.376886, -71.164001 42.374457, -71.164809 42.371564, -71.169147 42.371434, -71.17254 42.372622, -71.172647 42.373701, -71.17764 42.374748, -71.175688 42.379138, -71.175485 42.379384))",6.894054249997542e-05,6.894054249997542e-05,1.0,42.375817,-71.17071777240642,642,17.0,20.0
250251403003,Boston,"POLYGON ((-71.128219 42.252341, -71.127157 42.253834, -71.126018 42.254666, -71.125592 42.255613, -71.125307 42.255653, -71.121577 42.256, -71.12126 42.255869, -71.11937 42.253657, -71.118894 42.253161, -71.12063 42.252113, -71.122884 42.251849, -71.125505 42.247954, -71.128433 42.249173, -71.128992 42.247992, -71.128967 42.249643, -71.130115 42.251171, -71.128219 42.252341))",4.519953699998724e-05,4.519953699998724e-05,1.0,42.251981,-71.12527969230769,889,178.0,146.03081866510234
250250806011,Boston,"POLYGON ((-71.090518 42.335665, -71.084681 42.340293, -71.084459 42.340067, -71.081969 42.338416, -71.083983 42.33734, -71.088494 42.334896, -71.093638 42.332088, -71.0944 42.331412, -71.095351 42.331554, -71.094446 42.332386, -71.090518 42.335665))",2.5268461000042227e-05,2.5268461000042227e-05,1.0,42.336502499999995,-71.08749526302893,414,296.0,102.7861858422619
250251301016,Boston,"POLYGON ((-71.157678 42.295738, -71.153691 42.295746, -71.152113 42.294588, -71.1503 42.29553, -71.149376 42.293096, -71.151439 42.292869, -71.153486 42.293265, -71.154309 42.292974, -71.155656 42.292108, -71.156177 42.29171, -71.158683 42.291845, -71.161288 42.294125, -71.157678 42.295738))",3.0360722999986744e-05,3.036072299998674e-05,1.0000000000000002,42.293695,-71.15520004986557,493,41.0,50.0
250214192001,Braintree,"POLYGON ((-70.996191 42.233204, -70.991073 42.230071, -70.99016 42.227221, -70.985565 42.222793, -70.983484 42.222335, -70.98551 42.2196, -70.9819 42.21921, -70.98257 42.21889, -70.985748 42.21563, -70.98621 42.21706, -70.990719 42.216641, -70.99202 42.21804, -70.992929 42.222561, -70.995827 42.222415, -70.99695 42.22431, -70.999398 42.223322, -71.00063 42.22453, -70.99943 42.22713, -71.00265 42.23004, -71.002103 42.232219, -70.996191 42.233204))",0.00015553586050003784,0.00015553586050003778,1.0000000000000004,42.22442,-70.99388558806615,813,93.0,69.85699678629192
250173549013,Cambridge,"POLYGON ((-71.151577 42.396583, -71.143593 42.397412, -71.143557 42.397428, -71.143241 42.396564, -71.144297 42.394676, -71.14428 42.392638, -71.152306 42.395471, -71.156362 42.395852, -71.15494 42.397564, -71.151577 42.396583))",3.0295840500019864e-05,3.029584050001987e-05,0.9999999999999998,42.395073499999995,-71.14762726820851,810,195.99999999999994,92.07062506576132
